Sub Boro Name,Borough,FIPS,ZIP,Unbanked 2011,Underbanked 2011,Unbanked 2013,Underbanked 2013,Prepaid 2011,Prepaid 2013,% Foreign born 2011,% Poor 2011,Median Income 2011,Unemployment 2011,% Poor 2013,% Foreign born 2013,Median income 2013,Unemployment 2013
New York City,New York City,0,0,0.14,0.22,0.12,0.25,0.10,0.12,0.37,0.18,49461,0.09,0.18,0.37,58012,0.09
The Bronx,The Bronx,0,0,0.28,0.27,0.22,0.30,0.12,0.14,0.34,0.28,32058,0.12,0.28,0.34,33009,0.12
Manhattan,Manhattan,0,0,0.11,0.17,0.09,0.21,0.10,0.12,0.29,0.15,66299,0.08,0.15,0.28,72190,0.07
Staten Island,Staten Island,0,0,0.07,0.17,0.07,0.19,0.10,0.11,0.21,0.09,70578,0.08,0.10,0.20,69633,0.08
Brooklyn,Brooklyn,0,0,0.15,0.23,0.13,0.27,0.11,0.13,0.37,0.20,42752,0.10,0.20,0.37,47520,0.09
Queens,Queens,0,0,0.09,0.25,0.08,0.25,0.10,0.10,0.48,0.13,53572,0.08,0.12,0.48,56599,0.08
Riverdale / Kingsbridge,Bronx,3701,10463,0.14,0.22,0.11,0.26,0.10,0.12,0.31,0.15,55119,0.12,0.12,0.30,60614,0.12
Riverdale / Kingsbridge,Bronx,3701,10471,0.14,0.22,0.11,0.26,0.10,0.12,0.31,0.15,55119,0.12,0.12,0.30,60614,0.12
Williamsbridge / Baychester,Bronx,3702,10466,0.20,0.32,0.16,0.35,0.12,0.13,0.40,0.17,43236,0.16,0.19,0.39,45633,0.14
Williamsbridge / Baychester,Bronx,3702,10467,0.20,0.32,0.16,0.35,0.12,0.13,0.40,0.17,43236,0.16,0.19,0.39,45633,0.14
Throgs Neck / Co-op City,Bronx,3703,10465,0.11,0.25,0.10,0.27,0.10,0.13,0.18,0.10,53436,0.12,0.08,0.22,56059,0.09
Throgs Neck / Co-op City,Bronx,3703,10475,0.11,0.25,0.10,0.27,0.10,0.13,0.18,0.10,53436,0.12,0.08,0.22,56059,0.09
Pelham Parkway,Bronx,3704,10461,0.21,0.24,0.15,0.28,0.11,0.12,0.34,0.19,40745,0.15,0.17,0.34,43075,0.13
Morrisania / East Tremont,Bronx,3705,10457,0.42,0.25,0.28,0.31,0.13,0.16,0.31,0.41,22370,0.21,0.39,0.32,24259,0.18
Morrisania / East Tremont,Bronx,3705,10456,0.42,0.25,0.28,0.31,0.13,0.16,0.31,0.41,22370,0.21,0.39,0.32,24259,0.18
Morrisania / East Tremont,Bronx,3705,10459,0.42,0.25,0.28,0.31,0.13,0.16,0.31,0.41,22370,0.21,0.39,0.32,24259,0.18
Kingsbridge Heights / Mosholu,Bronx,3706,10463,0.32,0.26,0.24,0.31,0.12,0.13,0.40,0.33,30646,0.17,0.34,0.43,29069,0.18
University Heights / Fordham,Bronx,3707,10453,0.35,0.30,0.30,0.33,0.12,0.15,0.42,0.37,25951,0.20,0.39,0.44,24261,0.16
University Heights / Fordham,Bronx,3707,10468,0.35,0.30,0.30,0.33,0.12,0.15,0.42,0.37,25951,0.20,0.39,0.44,24261,0.16
Highbridge / S. Concourse,Bronx,3708,10452,0.37,0.27,0.26,0.34,0.12,0.14,0.38,0.40,22849,0.19,0.34,0.41,26387,0.15
Soundview / Parkchester,Bronx,3709,10472,0.26,0.30,0.22,0.29,0.12,0.14,0.35,0.25,35833,0.12,0.28,0.29,32363,0.17
Soundview / Parkchester,Bronx,3709,10462,0.26,0.30,0.22,0.29,0.12,0.14,0.35,0.25,35833,0.12,0.28,0.29,32363,0.17
Soundview / Parkchester,Bronx,3709,10460,0.26,0.30,0.22,0.29,0.12,0.14,0.35,0.25,35833,0.12,0.28,0.29,32363,0.17
Mott Haven / Hunts Point,Bronx,3710,10451,0.43,0.25,0.31,0.30,0.13,0.16,0.28,0.39,21146,0.20,0.40,0.26,23083,0.12
Mott Haven / Hunts Point,Bronx,3710,10454,0.43,0.25,0.31,0.30,0.13,0.16,0.28,0.39,21146,0.20,0.40,0.26,23083,0.12
Mott Haven / Hunts Point,Bronx,3710,10455,0.43,0.25,0.31,0.30,0.13,0.16,0.28,0.39,21146,0.20,0.40,0.26,23083,0.12
Washington Heights / Inwood,Manhattan,3801,10032,0.22,0.26,0.18,0.30,0.10,0.12,0.48,0.24,37581,0.16,0.25,0.47,37462,0.14
Washington Heights / Inwood,Manhattan,3801,10033,0.22,0.26,0.18,0.30,0.10,0.12,0.48,0.24,37581,0.16,0.25,0.47,37462,0.14
Washington Heights / Inwood,Manhattan,3801,10040,0.22,0.26,0.18,0.30,0.10,0.12,0.48,0.24,37581,0.16,0.25,0.47,37462,0.14
Washington Heights / Inwood,Manhattan,3801,10034,0.22,0.26,0.18,0.30,0.10,0.12,0.48,0.24,37581,0.16,0.25,0.47,37462,0.14
Morningside Heights / Hamilton Heights,Manhattan,3802,10025,0.19,0.25,0.15,0.26,0.12,0.13,0.35,0.24,39486,0.11,0.17,0.32,45600,0.08
Morningside Heights / Hamilton Heights,Manhattan,3802,10027,0.19,0.25,0.15,0.26,0.12,0.13,0.35,0.24,39486,0.11,0.17,0.32,45600,0.08
Morningside Heights / Hamilton Heights,Manhattan,3802,10031,0.19,0.25,0.15,0.26,0.12,0.13,0.35,0.24,39486,0.11,0.17,0.32,45600,0.08
Morningside Heights / Hamilton Heights,Manhattan,3802,10032,0.19,0.25,0.15,0.26,0.12,0.13,0.35,0.24,39486,0.11,0.17,0.32,45600,0.08
Morningside Heights / Hamilton Heights,Manhattan,3802,10039,0.19,0.25,0.15,0.26,0.12,0.13,0.35,0.24,39486,0.11,0.17,0.32,45600,0.08
Central Harlem,Manhattan,3803,10037,0.23,0.28,0.20,0.30,0.13,0.16,0.25,0.23,35350,0.15,0.26,0.23,36917,0.11
Central Harlem,Manhattan,3803,10026,0.23,0.28,0.20,0.30,0.13,0.16,0.25,0.23,35350,0.15,0.26,0.23,36917,0.11
Central Harlem,Manhattan,3803,10030,0.23,0.28,0.20,0.30,0.13,0.16,0.25,0.23,35350,0.15,0.26,0.23,36917,0.11
Central Harlem,Manhattan,3803,10035,0.23,0.28,0.20,0.30,0.13,0.16,0.25,0.23,35350,0.15,0.26,0.23,36917,0.11
East Harlem,Manhattan,3804,10029,0.28,0.24,0.19,0.27,0.12,0.14,0.27,0.23,30900,0.14,0.30,0.24,26941,0.13
East Harlem,Manhattan,3804,10028,0.28,0.24,0.19,0.27,0.12,0.14,0.27,0.23,30900,0.14,0.30,0.24,26941,0.13
Upper East Side,Manhattan,3805,10021,0.02,0.12,0.04,0.18,0.09,0.12,0.21,0.03,105217,0.06,0.03,0.22,107690,0.04
Upper East Side,Manhattan,3805,10065,0.02,0.12,0.04,0.18,0.09,0.12,0.21,0.03,105217,0.06,0.03,0.22,107690,0.04
Upper East Side,Manhattan,3805,10075,0.02,0.12,0.04,0.18,0.09,0.12,0.21,0.03,105217,0.06,0.03,0.22,107690,0.04
Upper East Side,Manhattan,3805,10128,0.02,0.12,0.04,0.18,0.09,0.12,0.21,0.03,105217,0.06,0.03,0.22,107690,0.04
Upper West Side,Manhattan,3806,99999,0.06,0.14,0.05,0.19,0.09,0.12,0.22,0.08,92160,0.06,0.06,0.25,99273,0.07
Chelsea / Clinton / Midtown,Manhattan,3807,99999,0.07,0.15,0.05,0.20,0.10,0.13,0.26,0.07,83030,0.08,0.08,0.26,100635,0.06
Stuyvesant Town / Turtle Bay,Manhattan,3808,99999,0.04,0.13,0.03,0.16,0.10,0.12,0.21,0.05,101548,0.07,0.05,0.20,108077,0.03
Lower East Side / Chinatown,Manhattan,3809,10002,0.15,0.18,0.10,0.19,0.10,0.12,0.38,0.27,39162,0.07,0.29,0.34,40133,0.11
Lower East Side / Chinatown,Manhattan,3809,10013,0.15,0.18,0.10,0.19,0.10,0.12,0.38,0.27,39162,0.07,0.29,0.34,40133,0.11
Greenwich Village / Financial District,Manhattan,3810,99999,0.02,0.12,0.03,0.17,0.10,0.12,0.22,0.05,119866,0.05,0.04,0.24,125311,0.04
South Shore,Staten,3901,99999,0.03,0.14,0.04,0.16,0.09,0.10,0.15,0.04,81322,0.08,0.06,0.14,85165,0.06
Mid-Island,Staten,3902,99999,0.05,0.15,0.06,0.17,0.09,0.11,0.27,0.06,71058,0.07,0.11,0.25,68661,0.07
North Shore,Staten,3903,10302,0.13,0.24,0.11,0.23,0.11,0.12,0.22,0.16,54206,0.10,0.15,0.22,60721,0.08
North Shore,Staten,3903,10303,0.13,0.24,0.11,0.23,0.11,0.12,0.22,0.16,54206,0.10,0.15,0.22,60721,0.08
North Shore,Staten,3903,10310,0.13,0.24,0.11,0.23,0.11,0.12,0.22,0.16,54206,0.10,0.15,0.22,60721,0.08
Williamsburg / Greenpoint,Brooklyn,4001,11222,0.12,0.15,0.10,0.22,0.11,0.13,0.24,0.30,47003,0.09,0.21,0.25,52419,0.06
Bushwick,Brooklyn,4002,11206,0.29,0.27,0.20,0.29,0.12,0.13,0.35,0.30,34142,0.15,0.23,0.38,43354,0.15
Bushwick,Brooklyn,4002,11207,0.29,0.27,0.20,0.29,0.12,0.13,0.35,0.30,34142,0.15,0.23,0.38,43354,0.15
Bushwick,Brooklyn,4002,11221,0.29,0.27,0.20,0.29,0.12,0.13,0.35,0.30,34142,0.15,0.23,0.38,43354,0.15
Bushwick,Brooklyn,4002,11237,0.29,0.27,0.20,0.29,0.12,0.13,0.35,0.30,34142,0.15,0.23,0.38,43354,0.15
Bedford Stuyvesant,Brooklyn,4003,11205,0.26,0.28,0.21,0.29,0.14,0.16,0.19,0.28,32334,0.18,0.32,0.20,37195,0.16
Bedford Stuyvesant,Brooklyn,4003,11216,0.26,0.28,0.21,0.29,0.14,0.16,0.19,0.28,32334,0.18,0.32,0.20,37195,0.16
Bedford Stuyvesant,Brooklyn,4003,11221,0.26,0.28,0.21,0.29,0.14,0.16,0.19,0.28,32334,0.18,0.32,0.20,37195,0.16
Bedford Stuyvesant,Brooklyn,4003,11233,0.26,0.28,0.21,0.29,0.14,0.16,0.19,0.28,32334,0.18,0.32,0.20,37195,0.16
Brooklyn Heights / Fort Greene,Brooklyn,4004,99999,0.13,0.18,0.09,0.23,0.11,0.14,0.20,0.14,62045,0.12,0.14,0.19,76040,0.09
Park Slope / Carroll Gardens,Brooklyn,4005,99999,0.06,0.16,0.07,0.19,0.10,0.13,0.18,0.08,87293,0.08,0.09,0.17,101789,0.05
North Crown Heights / Prospect Heights,Brooklyn,4006,11216,0.22,0.26,0.19,0.29,0.13,0.15,0.32,0.29,40511,0.14,0.26,0.30,39034,0.09
North Crown Heights / Prospect Heights,Brooklyn,4006,11213,0.22,0.26,0.19,0.29,0.13,0.15,0.32,0.29,40511,0.14,0.26,0.30,39034,0.09
North Crown Heights / Prospect Heights,Brooklyn,4006,11217,0.22,0.26,0.19,0.29,0.13,0.15,0.32,0.29,40511,0.14,0.26,0.30,39034,0.09
North Crown Heights / Prospect Heights,Brooklyn,4006,11238,0.22,0.26,0.19,0.29,0.13,0.15,0.32,0.29,40511,0.14,0.26,0.30,39034,0.09
Brownsville / Ocean Hill,Brooklyn,4007,11212,0.34,0.29,0.28,0.33,0.15,0.17,0.28,0.37,25766,0.19,0.33,0.31,27933,0.16
East New York / Starrett City,Brooklyn,4008,11207,0.28,0.27,0.22,0.34,0.13,0.15,0.34,0.32,29857,0.13,0.26,0.35,36943,0.13
East New York / Starrett City,Brooklyn,4008,11208,0.28,0.27,0.22,0.34,0.13,0.15,0.34,0.32,29857,0.13,0.26,0.35,36943,0.13
East New York / Starrett City,Brooklyn,4008,11239,0.28,0.27,0.22,0.34,0.13,0.15,0.34,0.32,29857,0.13,0.26,0.35,36943,0.13
Flatlands / Canarsie,Brooklyn,4009,99999,0.10,0.30,0.09,0.33,0.11,0.11,0.42,0.11,59616,0.12,0.09,0.38,66283,0.09
East Flatbush,Brooklyn,4010,11203,0.16,0.36,0.16,0.41,0.11,0.13,0.52,0.14,44629,0.13,0.15,0.52,42666,0.11
South Crown Heights,Brooklyn,4011,11225,0.20,0.32,0.16,0.37,0.12,0.14,0.45,0.18,37446,0.17,0.16,0.43,46294,0.14
Sunset Park,Brooklyn,4012,11220,0.17,0.24,0.12,0.23,0.10,0.11,0.44,0.21,42544,0.08,0.28,0.49,45075,0.11
Bay Ridge,Brooklyn,4013,99999,0.06,0.16,0.06,0.19,0.09,0.11,0.37,0.12,56541,0.10,0.13,0.39,58621,0.10
Borough Park,Brooklyn,4014,99999,0.10,0.15,0.08,0.21,0.09,0.12,0.31,0.28,34374,0.08,0.28,0.30,40571,0.07
Flatbush,Brooklyn,4015,11226,0.13,0.24,0.12,0.28,0.10,0.12,0.45,0.18,40470,0.11,0.21,0.43,42312,0.10
Sheepshead Bay / Gravesend,Brooklyn,4016,99999,0.06,0.14,0.06,0.20,0.08,0.09,0.46,0.12,47610,0.09,0.12,0.46,51064,0.08
Bensonhurst,Brooklyn,4017,99999,0.07,0.19,0.06,0.20,0.08,0.10,0.54,0.15,44464,0.10,0.14,0.55,47272,0.09
Coney Island,Brooklyn,4018,99999,0.10,0.15,0.10,0.24,0.08,0.10,0.56,0.18,28106,0.13,0.19,0.54,30850,0.13
Astoria,Queens,4101,11101,0.12,0.19,0.10,0.23,0.10,0.13,0.42,0.18,46716,0.11,0.16,0.40,50960,0.10
Astoria,Queens,4101,11102,0.12,0.19,0.10,0.23,0.10,0.13,0.42,0.18,46716,0.11,0.16,0.40,50960,0.10
Astoria,Queens,4101,11103,0.12,0.19,0.10,0.23,0.10,0.13,0.42,0.18,46716,0.11,0.16,0.40,50960,0.10
Astoria,Queens,4101,11105,0.12,0.19,0.10,0.23,0.10,0.13,0.42,0.18,46716,0.11,0.16,0.40,50960,0.10
Astoria,Queens,4101,11106,0.12,0.19,0.10,0.23,0.10,0.13,0.42,0.18,46716,0.11,0.16,0.40,50960,0.10
Jackson Heights,Queens,4102,11372,0.14,0.32,0.14,0.32,0.09,0.10,0.63,0.18,46619,0.08,0.16,0.62,49181,0.07
Flushing / Whitestone,Queens,4103,11354,0.06,0.22,0.05,0.19,0.08,0.09,0.57,0.12,49630,0.10,0.14,0.57,50490,0.07
Flushing / Whitestone,Queens,4103,11355,0.06,0.22,0.05,0.19,0.08,0.09,0.57,0.12,49630,0.10,0.14,0.57,50490,0.07
Flushing / Whitestone,Queens,4103,11358,0.06,0.22,0.05,0.19,0.08,0.09,0.57,0.12,49630,0.10,0.14,0.57,50490,0.07
Flushing / Whitestone,Queens,4103,11356,0.06,0.22,0.05,0.19,0.08,0.09,0.57,0.12,49630,0.10,0.14,0.57,50490,0.07
Flushing / Whitestone,Queens,4103,11357,0.06,0.22,0.05,0.19,0.08,0.09,0.57,0.12,49630,0.10,0.14,0.57,50490,0.07
Bayside / Little Neck,Queens,4104,99999,0.02,0.19,0.03,0.16,0.08,0.08,0.42,0.08,77028,0.08,0.06,0.43,72158,0.07
Bellerose / Rosedale,Queens,4105,99999,0.05,0.33,0.06,0.30,0.10,0.10,0.41,0.07,75363,0.10,0.07,0.41,76885,0.10
Hillcrest / Fresh Meadows,Queens,4106,99999,0.08,0.23,0.05,0.23,0.09,0.09,0.44,0.13,53240,0.12,0.11,0.48,57531,0.09
Elmhurst / Corona,Queens,4107,11373,0.14,0.31,0.12,0.28,0.09,0.10,0.70,0.22,45641,0.05,0.18,0.64,46489,0.07
Elmhurst / Corona,Queens,4107,11368,0.14,0.31,0.12,0.28,0.09,0.10,0.70,0.22,45641,0.05,0.18,0.64,46489,0.07
Forest Hills / Rego Park,Queens,4108,99999,0.04,0.18,0.04,0.22,0.08,0.09,0.50,0.05,65902,0.06,0.08,0.52,61654,0.06
Sunnyside / Woodside,Queens,4109,99999,0.09,0.23,0.07,0.23,0.09,0.11,0.59,0.12,50105,0.07,0.12,0.56,61836,0.06
Middle Village / Ridgewood,Queens,4110,99999,0.12,0.18,0.09,0.23,0.10,0.11,0.39,0.12,52416,0.09,0.10,0.38,58564,0.08
Kew Gardens / Woodhaven,Queens,4111,99999,0.11,0.27,0.07,0.25,0.10,0.10,0.49,0.15,54855,0.12,0.15,0.49,62532,0.09
Jamaica,Queens,4112,11432,0.13,0.37,0.11,0.34,0.11,0.12,0.41,0.13,50021,0.15,0.13,0.43,51449,0.15
Jamaica,Queens,4112,11433,0.13,0.37,0.11,0.34,0.11,0.12,0.41,0.13,50021,0.15,0.13,0.43,51449,0.15
Jamaica,Queens,4112,11434,0.13,0.37,0.11,0.34,0.11,0.12,0.41,0.13,50021,0.15,0.13,0.43,51449,0.15
Jamaica,Queens,4112,11435,0.13,0.37,0.11,0.34,0.11,0.12,0.41,0.13,50021,0.15,0.13,0.43,51449,0.15
Jamaica,Queens,4112,11436,0.13,0.37,0.11,0.34,0.11,0.12,0.41,0.13,50021,0.15,0.13,0.43,51449,0.15
Howard Beach / S. Ozone Park,Queens,4113,99999,0.06,0.27,0.06,0.24,0.09,0.09,0.47,0.10,58536,0.11,0.08,0.46,62671,0.13
Rockaways,Queens,4114,11690,0.16,0.24,0.14,0.26,0.11,0.13,0.30,0.20,42265,0.12,0.15,0.28,46731,0.08
Rockaways,Queens,4114,11691,0.16,0.24,0.14,0.26,0.11,0.13,0.30,0.20,42265,0.12,0.15,0.28,46731,0.08
Rockaways,Queens,4114,11692,0.16,0.24,0.14,0.26,0.11,0.13,0.30,0.20,42265,0.12,0.15,0.28,46731,0.08
Rockaways,Queens,4114,11693,0.16,0.24,0.14,0.26,0.11,0.13,0.30,0.20,42265,0.12,0.15,0.28,46731,0.08
Rockaways,Queens,4114,11694,0.16,0.24,0.14,0.26,0.11,0.13,0.30,0.20,42265,0.12,0.15,0.28,46731,0.08
Rockaways,Queens,4114,11695,0.16,0.24,0.14,0.26,0.11,0.13,0.30,0.20,42265,0.12,0.15,0.28,46731,0.08
Rockaways,Queens,4114,11697,0.16,0.24,0.14,0.26,0.11,0.13,0.30,0.20,42265,0.12,0.15,0.28,46731,0.08